representation,selector,budget,model,outer_assessments,accuracy_mean,accuracy_std,accuracy_ci95_low,accuracy_ci95_high,sensitivity_mean,sensitivity_std,sensitivity_ci95_low,sensitivity_ci95_high,specificity_mean,specificity_std,specificity_ci95_low,specificity_ci95_high,precision_mean,precision_std,precision_ci95_low,precision_ci95_high,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_std,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_std,pr_auc_ci95_low,pr_auc_ci95_high,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_ci95_low,runtime_seconds_ci95_high,pca_explained_variance_mean,sensitivity_delta_vs_same_model_full,specificity_delta_vs_same_model_full,roc_auc_delta_vs_same_model_full,meets_sensitivity_tolerance,meets_roc_auc_tolerance,meets_joint_tolerance
selected,permutation_importance,4,xgboost,10,0.9828125,0.01719538960335331,0.970511659296385,0.9951133407036149,0.985,0.017480147469502542,0.9724954557903057,0.9975045442096943,0.9791666666666666,0.03540985773328324,0.9538359803977238,1.0,0.9878600464576074,0.020543517405504707,0.973164099408651,1.0,0.9862615237723297,0.01367110692077475,0.9764818030242901,0.9960412445203692,0.9991666666666665,0.0015372183070263283,0.9980670069347507,1.0,0.9994570267131243,0.001002202609441464,0.9987400941552785,1.0,0.18121982070006196,0.025373277683269194,0.163068871282224,0.19937077011789991,,0.0,0.004166666666666652,-0.00020833333333347692,True,True,True
selected,permutation_importance,6,logistic_regression,10,0.98125,0.01613743060919757,0.969705977569088,0.9927940224309119,0.9775,0.02188987589427282,0.9618409261081912,0.9931590738918089,0.9875,0.020126912147485312,0.9731020743994315,1.0,0.9925,0.012076147288491209,0.983861244639659,1.0,0.9848064277494657,0.013187571490548238,0.9753726074107202,0.9942402480882112,0.9984374999999999,0.001787435788365823,0.9971588454648133,0.9997161545351865,0.9991091427833843,0.0010203657888025622,0.9983792170697481,0.9998390684970204,0.1690533749017049,0.012390289255421889,0.16018989591586474,0.17791685388754508,,-0.010000000000000009,-0.012499999999999956,-0.0015625000000001332,True,True,True
selected,permutation_importance,6,svm_rbf,10,0.9859375,0.015537951968933645,0.9748223187543829,0.9970526812456172,0.9800000000000001,0.02581988897471611,0.9615295641105411,0.998470435889459,0.9958333333333333,0.013176156917368237,0.9864076784883409,1.0,0.9975609756097562,0.007712872341874104,0.9920435191151264,1.0,0.9885077572841287,0.012857407348302055,0.9793101221446429,0.9977053924236144,0.9986458333333333,0.0029071438456853495,0.9965661879066722,1.0,0.9992953894972623,0.0014293911916885924,0.9982728646369542,1.0,0.3043908917039516,0.016123671944275404,0.2928567116290087,0.3159250717788945,,-0.004999999999999893,-0.004166666666666652,-0.0013541666666666563,True,True,True
selected,permutation_importance,6,xgboost,10,0.9828125,0.015537951968933643,0.9716973187543828,0.9939276812456171,0.9824999999999999,0.016873713942763838,0.9704292722016703,0.9945707277983296,0.9833333333333334,0.029133579115837548,0.9624924263171762,1.0,0.9901829268292683,0.01711292796464225,0.977941075628383,1.0,0.9862001574765287,0.01239603771246532,0.9773325662922439,0.9950677486608135,0.9992708333333333,0.0013038182885776962,0.9983381379164684,1.0,0.999523606947033,0.0008789215660192626,0.9988948643349745,1.0,0.20619625420076773,0.0066236925357406815,0.2014579500022993,0.21093455839923617,,-0.0025000000000000577,0.008333333333333415,-0.00010416666666668295,True,True,True
selected,permutation_importance,8,logistic_regression,10,0.984375,0.01647019614671031,0.9725929314437594,0.9961570685562406,0.9800000000000001,0.02581988897471611,0.9615295641105411,0.998470435889459,0.9916666666666668,0.01756820922315765,0.9790991268733434,1.0,0.9950609756097561,0.010413369496022486,0.9876116998263522,1.0,0.9872735800689387,0.013555172710957394,0.9775767936585302,0.9969703664793472,0.9986458333333333,0.0017045746817546366,0.9974264540629975,0.9998652126036692,0.9992340367965369,0.000954449305846285,0.9985512648942009,0.9999168086988729,0.17752637070079796,0.018754570257896667,0.16411015934829956,0.19094258205329637,,-0.007499999999999951,-0.008333333333333193,-0.0013541666666666563,True,True,True
selected,permutation_importance,8,svm_rbf,10,0.9890625,0.016552342272990316,0.9772216676450262,1.0,0.9824999999999999,0.026483747636784502,0.9635546682320418,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9910081479701732,0.013692464221417691,0.9812131491296259,1.0,0.9996875,0.0007030714142818481,0.9991845530084029,1.0,0.9998199767711963,0.0004034507307816645,0.9995313655047127,1.0,0.3162748958013253,0.012350717680915151,0.3074397246145886,0.32511006698806194,,-0.0025000000000000577,0.0,-0.00031250000000004885,True,True,True
selected,permutation_importance,8,xgboost,10,0.98125,0.019207384286026846,0.9675098650053582,0.9949901349946417,0.985,0.017480147469502542,0.9724954557903057,0.9975045442096943,0.975,0.035136418446315335,0.9498649204133532,1.0,0.9853048780487805,0.020600673902062393,0.9705680437052906,1.0,0.9850280993424452,0.015264391571464305,0.9741086114163577,0.9959475872685326,0.999375,0.0011197580205970215,0.9985739733669499,1.0,0.9995789779326365,0.0008044656104278788,0.999003497902601,1.0,0.22406740020232968,0.035475594857167184,0.19868968842783774,0.24944511197682162,,0.0,0.0,0.0,True,True,True
selected,wrapper_rfe,4,logistic_regression,10,0.9625,0.02109214242845478,0.947411590252088,0.9775884097479121,0.9549999999999998,0.032914029430219136,0.9314547217437709,0.9785452782562288,0.975,0.035136418446315335,0.9498649204133532,1.0,0.985112323491656,0.020710071726942652,0.9702972306586398,0.9999274163246722,0.9693773762078225,0.017471728943058897,0.9568788542491578,0.9818758981664872,0.9961458333333333,0.004050760578636082,0.9932480937789723,0.9990435728876943,0.9976666067427017,0.002410835825559482,0.9959419986857262,0.9993912147996772,0.15861756680096728,0.0017708142536975253,0.15735080259539347,0.1598843310065411,,-0.032500000000000195,-0.025000000000000022,-0.003854166666666714,True,True,True
selected,wrapper_rfe,4,svm_rbf,10,0.965625,0.02185018433687816,0.9499943197378821,0.9812556802621178,0.95,0.03535533905932736,0.9247083140409758,0.9752916859590242,0.9916666666666666,0.026352313834736504,0.9728153569766815,1.0,0.9951219512195122,0.01542574468374817,0.9840870382302527,1.0,0.9716134685754938,0.018520283354893398,0.9583648559770372,0.9848620811739504,0.9978125,0.0033466891000059748,0.995418422840174,1.0,0.9985379283391624,0.0021361861359181235,0.9970097928343946,1.0,0.2933550498972181,0.004007905678803405,0.29048796689140705,0.2962221329030292,,-0.03500000000000003,-0.008333333333333415,-0.002187500000000009,True,True,True
selected,wrapper_rfe,4,xgboost,10,0.9765625,0.01518477055949297,0.9656999695146866,0.9874250304853134,0.9824999999999999,0.016873713942763838,0.9704292722016703,0.9945707277983296,0.9666666666666666,0.032867109906108985,0.9431549526160347,0.9901783807172985,0.9804268292682927,0.01925741949050477,0.9666509012445861,0.9942027572919994,0.981293140755166,0.012037854313076449,0.9726817785392381,0.989904502971094,0.9959895833333332,0.00558828251142238,0.9919919668462721,0.9999871998203943,0.9976417266676412,0.0030872029188332745,0.995433274739521,0.9998501785957613,0.1962268583010882,0.0026803823656737064,0.1943094282651615,0.19814428833701486,,-0.0025000000000000577,-0.008333333333333415,-0.0033854166666668073,True,True,True
selected,wrapper_rfe,6,logistic_regression,10,0.978125,0.01679637030895531,0.9661096005042482,0.9901403994957518,0.975,0.023570226039551608,0.9581388760273172,0.9918611239726828,0.9833333333333332,0.03513641844631534,0.9581982537466864,1.0,0.9903600464576074,0.020324650177752413,0.9758206675915143,1.0,0.982335038864832,0.01348331111239515,0.9726896591452291,0.9919804185844349,0.99921875,0.0011318059731254835,0.9984091047809058,1.0,0.9993945267131243,0.0008544739240623039,0.9987832728905746,1.0,0.16659303759806787,0.0015439081042073202,0.1654885922735391,0.16769748292259665,,-0.012500000000000067,-0.01666666666666683,-0.0007812499999999556,True,True,True
selected,wrapper_rfe,6,svm_rbf,10,0.9828125,0.01719538960335331,0.970511659296385,0.9951133407036149,0.985,0.021081851067789214,0.969918952248012,1.0,0.9791666666666666,0.03540985773328324,0.9538359803977238,1.0,0.9879210220673634,0.020501969025427367,0.9732547969390273,1.0,0.9862286760918024,0.013734398836644547,0.9764036790346533,0.9960536731489515,0.9995312499999999,0.0007137084996908142,0.9990206936958961,1.0,0.9995789779326365,0.000569686444036779,0.9991714488006569,0.9999865070646161,0.3056987289019162,0.003935274154640971,0.3028836033585059,0.3085138544453265,,0.0,-0.02083333333333337,-0.0004687500000001288,True,True,True
selected,wrapper_rfe,6,xgboost,10,0.98125,0.012325166214790868,0.972433107231013,0.990066892768987,0.99,0.012909944487358068,0.9807647820552705,0.9992352179447295,0.9666666666666666,0.032867109906108985,0.9431549526160347,0.9901783807172985,0.9806039488966318,0.019045494343411084,0.9669796229904475,0.9942282748028162,0.9851215319466837,0.009679837876481148,0.9781969930730665,0.9920460708203009,0.9989062499999999,0.002060786559128318,0.997432052103196,1.0,0.9992100754936122,0.001283344772073464,0.9982920259481681,1.0,0.2034923082013847,0.0028673026523908735,0.20144116344748889,0.2055434529552805,,0.0050000000000000044,-0.008333333333333415,-0.0004687500000001288,True,True,True
selected,wrapper_rfe,8,logistic_regression,10,0.9953125,0.007547592055306998,0.9899132778997869,1.0,0.9949999999999999,0.010540925533894607,0.9874594761240059,1.0,0.9958333333333333,0.013176156917368237,0.9864076784883409,1.0,0.9975609756097562,0.007712872341874104,0.9920435191151264,1.0,0.9962337865291453,0.006064776406103614,0.9918953068438712,1.0,0.9997916666666666,0.0004392052305789166,0.9994774781718335,1.0,0.9998780487804879,0.00025709574472913675,0.9996941335640003,1.0,0.1749203790997853,0.0028319845342847615,0.17289449940558257,0.17694625879398804,,0.00749999999999984,-0.004166666666666652,-0.0002083333333333659,True,True,True
selected,wrapper_rfe,8,svm_rbf,10,0.9953125,0.010546071214227388,0.987768295126044,1.0,0.9949999999999999,0.01581138830084191,0.9836892141860089,1.0,0.9958333333333333,0.013176156917368237,0.9864076784883409,1.0,0.9975609756097562,0.007712872341874104,0.9920435191151264,1.0,0.996201329534663,0.008599606019123822,0.9900495419802559,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.32023890420095996,0.007307211201087748,0.31501164020487565,0.32546616819704427,,0.009999999999999898,-0.004166666666666652,0.0,True,True,True
selected,wrapper_rfe,8,xgboost,10,0.9828125,0.018706546870904135,0.9694306425090348,0.9961943574909652,0.9824999999999999,0.016873713942763838,0.9704292722016703,0.9945707277983296,0.9833333333333332,0.03513641844631534,0.9581982537466864,1.0,0.9902439024390244,0.020567659578330892,0.9755306851200117,1.0,0.9862310216740596,0.014854071556500153,0.9756050590043348,0.9968569843437844,0.9993229166666667,0.001253130724487367,0.9984264809488207,1.0,0.9995743265880461,0.0008172758795963514,0.9989896826434936,1.0,0.21111774590244745,0.0016351242640259965,0.20994804846805626,0.21228744333683863,,-0.0025000000000000577,0.008333333333333193,-5.2083333333285964e-05,True,True,True
