method,feature,mean_rank,rank_std,selection_frequency_8,jaccard_mean_8,selection_frequency_6,jaccard_mean_6,selection_frequency_4,jaccard_mean_4
permutation_importance,pc,15.3,2.496664441476534,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,pcc,16.3,2.496664441476534,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,ba,10.5,3.5355339059327378,0.4,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,bgr,9.5,4.034572812303401,0.5,0.5068082534749203,0.2,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,bu,12.4,3.5023801430836525,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,sc,8.3,8.895067297228405,0.7,0.5068082534749203,0.7,0.5035978835978836,0.6,0.6402116402116403
permutation_importance,sod,18.9,4.817791102892602,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,pot,17.7,2.6687491868330793,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,hemo,4.5,6.553201083779166,0.9,0.5068082534749203,0.9,0.5035978835978836,0.9,0.6402116402116403
permutation_importance,pcv,12.8,7.269418439218123,0.5,0.5068082534749203,0.2,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,wc,23.2,1.9321835661585915,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,rc,17.2,5.473166867139678,0.1,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,htn,10.5,5.338539126015656,0.5,0.5068082534749203,0.4,0.5035978835978836,0.1,0.6402116402116403
permutation_importance,dm,7.8,3.966526608171604,0.6,0.5068082534749203,0.5,0.5035978835978836,0.2,0.6402116402116403
permutation_importance,cad,13.6,2.913569784454954,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,appet,8.3,2.263232692902394,0.6,0.5068082534749203,0.3,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,pe,17.6,2.4129281427805145,0.0,0.5068082534749203,0.0,0.5035978835978836,0.0,0.6402116402116403
permutation_importance,ane,8.7,3.8600518131237562,0.5,0.5068082534749203,0.4,0.5035978835978836,0.0,0.6402116402116403
