model,prevalence,repetition,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical_rbf_svm,0.3,49,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,51,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,52,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,53,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,54,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,57,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,58,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,59,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,60,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,62,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,63,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,65,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,66,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,67,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,68,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,69,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,280,0,0,120
classical_rbf_svm,0.3,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,71,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,72,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,74,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,75,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,280,0,0,120
classical_rbf_svm,0.3,76,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,77,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,79,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,80,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,81,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,280,0,0,120
classical_rbf_svm,0.3,82,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,83,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,84,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,85,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999998,280,0,0,120
classical_rbf_svm,0.3,86,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
classical_rbf_svm,0.3,88,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,89,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,280,0,0,120
classical_rbf_svm,0.3,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280,0,0,120
