disease,repeat,fold,budget,model,fit_seconds,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp
Pima diabetes (Arizona Pima population),1,5,8,qsvc,3.0484082920011133,0.6470588235294118,0.018867924528301886,0.98,0.3333333333333333,0.03571428571428571,0.6658490566037735,0.46415985557649586,98,2,52,1
Pima diabetes (Arizona Pima population),2,1,8,classical_rbf_svm,0.00473187500028871,0.7597402597402597,0.5185185185185185,0.89,0.717948717948718,0.6021505376344086,0.8327777777777777,0.7182953742081357,89,11,26,28
Pima diabetes (Arizona Pima population),2,1,8,qsvc,3.053792082995642,0.6493506493506493,0.07407407407407407,0.96,0.5,0.12903225806451613,0.6411111111111111,0.45384360843917215,96,4,50,4
Pima diabetes (Arizona Pima population),2,2,8,classical_rbf_svm,0.005610375010292046,0.7987012987012987,0.5,0.96,0.8709677419354839,0.6352941176470588,0.8592592592592593,0.7849570055983852,96,4,27,27
Pima diabetes (Arizona Pima population),2,2,8,qsvc,3.057624290988315,0.6363636363636364,0.0,0.98,0.0,0.0,0.6675925925925925,0.4459798928078797,98,2,54,0
Pima diabetes (Arizona Pima population),2,3,8,classical_rbf_svm,0.004260500005329959,0.7922077922077922,0.6111111111111112,0.89,0.75,0.673469387755102,0.8596296296296296,0.72296885036226,89,11,21,33
Pima diabetes (Arizona Pima population),2,3,8,qsvc,2.9874501250014873,0.6428571428571429,0.037037037037037035,0.97,0.4,0.06779661016949153,0.6835185185185185,0.4965810558848636,97,3,52,2
Pima diabetes (Arizona Pima population),2,4,8,classical_rbf_svm,0.004336417012382299,0.7058823529411765,0.4339622641509434,0.85,0.6052631578947368,0.5054945054945055,0.7635849056603774,0.6189020283765436,85,15,30,23
Pima diabetes (Arizona Pima population),2,4,8,qsvc,3.02386241700151,0.6470588235294118,0.05660377358490566,0.96,0.42857142857142855,0.1,0.5994339622641509,0.4032704925962278,96,4,50,3
Pima diabetes (Arizona Pima population),2,5,8,classical_rbf_svm,0.006426417006878182,0.7777777777777778,0.6037735849056604,0.87,0.7111111111111111,0.6530612244897959,0.86,0.7542702745934127,87,13,21,32
Pima diabetes (Arizona Pima population),2,5,8,qsvc,2.7487138750002487,0.673202614379085,0.05660377358490566,1.0,1.0,0.10714285714285714,0.6643396226415094,0.5353020556816958,100,0,50,3
