model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022850000823382288,6,6,5,0.000637250006548129
qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9947916666666666,0.9972222222222223,24,0,2,38,0.12551208400691394,6,6,5,0.2986838340002578
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025170900335069746,6,7,1,0.0006356250087264925
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9927083333333333,0.996276595744681,24,0,1,39,0.09466779200010933,6,7,1,0.3503962090035202
classical_rbf_svm,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.00021254199964459985,6,7,2,0.0006835419917479157
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.10635554100736044,6,7,2,0.3218348749942379
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021949999791104347,6,7,3,0.0008327079995069653
qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.99375,0.9967391304347826,23,1,1,39,0.12853729199559893,6,7,3,0.28979883401189
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022204199922271073,6,7,4,0.0006614580051973462
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,1.0,1.0,23,1,0,40,0.09555712499422953,6,7,4,0.34997133299475536
classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00024570799723733217,6,7,5,0.0006282920076046139
qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9937499999999999,0.9963400116144019,24,0,3,37,0.13776150000921916,6,7,5,0.31409020800492726
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002464170102030039,6,8,1,0.0006585419905604795
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.09589195800072048,6,8,1,0.35407204199873377
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.000247957999818027,6,8,2,0.0007210410112747923
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9958333333333333,0.9977272727272728,24,0,1,39,0.15735387499444187,6,8,2,0.29661325000051875
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022058300964999944,6,8,3,0.0006897499988554046
qsvc,0.984375,1.0,0.9583333333333334,0.975609756097561,0.9876543209876543,0.9989583333333334,0.999390243902439,23,1,0,40,0.09135166699707042,6,8,3,0.32526475000486244
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002227079967269674,6,8,4,0.0007590830064145848
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.09478412500175182,6,8,4,0.34976179199293256
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021687500702682883,6,8,5,0.0006399589910870418
qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.9822916666666667,0.9919157925407927,24,0,3,37,0.12492112499603536,6,8,5,0.29721966599754523
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002640000020619482,6,9,1,0.0006357079982990399
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9885416666666667,0.9946078431372549,24,0,1,39,0.10136245899775531,6,9,1,0.37916300000506453
classical_rbf_svm,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.00022104199160821736,6,9,2,0.0006615830061491579
