model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds,budget,repeat,fold,fit_seconds
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.24251508300949354,8,3,2,0.45127325000066776
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00023308400704991072,8,3,3,0.000771666003856808
qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9927083333333334,0.9959415584415586,24,0,4,36,0.12148358399281278,8,3,3,0.5298294160020305
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024995800049509853,8,3,4,0.0010325420007575303
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.21275375000550412,8,3,4,0.4236292499990668
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002662499900907278,8,3,5,0.0007943329983390868
qsvc,0.96875,1.0,0.9166666666666666,0.9523809523809523,0.975609756097561,1.0,1.0,22,2,0,40,0.1261283329949947,8,3,5,0.5674602080107434
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00033637500018812716,8,4,1,0.0008852089958963916
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.27901479200227186,8,4,1,0.48152549999940675
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025845800701063126,8,4,2,0.0011507089948281646
qsvc,0.953125,1.0,0.875,0.9302325581395349,0.963855421686747,1.0,1.0,21,3,0,40,0.12523979099933058,8,4,2,0.554929167003138
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00034620799124240875,8,4,3,0.001214125004480593
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.221562749997247,8,4,3,0.4943747500074096
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022950000129640102,8,4,4,0.0008822920062812045
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.12281391600845382,8,4,4,0.5419972910021897
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00042174999543931335,8,4,5,0.0014286670048022643
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.2970155000075465,8,4,5,0.4894531250029104
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002453330089338124,8,5,1,0.0015490000077988952
qsvc,0.953125,1.0,0.875,0.9302325581395349,0.963855421686747,1.0,1.0,21,3,0,40,0.12208520800049882,8,5,1,0.5348405419936171
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.001152249998995103,8,5,2,0.0014038340013939887
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.2555448330094805,8,5,2,0.5329609589971369
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002606250054668635,8,5,3,0.002326458998140879
qsvc,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9979166666666668,0.9987652439024391,23,1,2,38,0.12816550000570714,8,5,3,0.5253760830091778
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00032041700615081936,8,5,4,0.0014337910106405616
qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.24591174999659415,8,5,4,0.4326941250037635
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002666249929461628,8,5,5,0.0028190419980091974
qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.12169566600641701,8,5,5,0.5400910419994034
classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,24,0,0,40,0.0002907499874709174,8,6,1,0.0017297909944318235
