fold,stress_seed,missingness_fraction,added_train_cells,added_valid_cells,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,prediction_seconds
4,1,0.05,95,24,qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9989583333333334,0.999390243902439,23,1,1,39,0.11980099999345839
4,1,0.1,190,48,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.00022200000239536166
4,1,0.1,190,48,qsvc,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.996875,0.9981845238095237,23,1,2,38,0.17224166600499302
4,1,0.2,379,96,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0000000000000002,24,0,2,38,0.00022612499014940113
4,1,0.2,379,96,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.10533595900051296
4,2,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00020687500364147127
4,2,0.0,0,0,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.15915058300015517
4,2,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002177909918827936
4,2,0.05,95,24,qsvc,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.10410166598740034
4,2,0.1,190,48,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,1.0,1.0,24,0,2,38,0.00029883299430366606
4,2,0.1,190,48,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9989583333333334,0.999390243902439,24,0,2,38,0.20247958299296442
4,2,0.2,379,96,classical_rbf_svm,0.953125,0.925,1.0,1.0,0.961038961038961,0.9989583333333334,0.999390243902439,24,0,3,37,0.0002682920021470636
4,2,0.2,379,96,qsvc,0.9375,0.9,1.0,1.0,0.9473684210526315,0.9729166666666665,0.9886105996850748,24,0,4,36,0.10710270900744945
5,0,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00025179199292324483
5,0,0.0,0,0,qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9979166666666666,0.9988095238095238,23,1,1,39,0.19346974999643862
5,0,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002156249975087121
5,0,0.05,95,24,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9979166666666666,0.9988095238095238,24,0,1,39,0.11143233299662825
5,0,0.1,190,47,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00024758400104474276
5,0,0.1,190,47,qsvc,0.953125,0.95,0.9583333333333334,0.9743589743589743,0.9620253164556962,0.9968750000000001,0.9981242182614134,23,1,2,38,0.18996787499054335
5,0,0.2,381,94,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9989583333333334,0.999390243902439,24,0,1,39,0.00028258300153538585
5,0,0.2,381,94,qsvc,0.96875,0.95,1.0,1.0,0.9743589743589743,0.975,0.9887395118230358,24,0,2,38,0.11377495899796486
5,1,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021241699869278818
5,1,0.0,0,0,qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9979166666666666,0.9988095238095238,23,1,1,39,0.1588050839927746
5,1,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.0002487500023562461
5,1,0.05,95,24,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.996875,0.9982558139534884,24,0,1,39,0.10244795800826978
5,1,0.1,190,47,classical_rbf_svm,0.96875,0.95,1.0,1.0,0.9743589743589743,0.9979166666666667,0.998765243902439,24,0,2,38,0.00028079199546482414
5,1,0.1,190,47,qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9875,0.9939828431372548,23,1,1,39,0.10894020799605642
5,1,0.2,381,94,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00032504099362995476
5,1,0.2,381,94,qsvc,0.953125,0.925,1.0,1.0,0.961038961038961,0.971875,0.9880601092896174,24,0,3,37,0.2252363330044318
5,2,0.0,0,0,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00021904199093114585
5,2,0.0,0,0,qsvc,0.96875,0.975,0.9583333333333334,0.975,0.975,0.9979166666666666,0.9988095238095238,23,1,1,39,0.12801783300528768
5,2,0.05,95,24,classical_rbf_svm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0,0,40,0.00022916599118616432
5,2,0.05,95,24,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9947916666666666,0.9972222222222222,24,0,1,39,0.16716420899319928
5,2,0.1,190,47,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.0002541249996284023
5,2,0.1,190,47,qsvc,0.984375,0.975,1.0,1.0,0.9873417721518988,0.9927083333333333,0.9962765957446809,24,0,1,39,0.11932808299025055
5,2,0.2,381,94,classical_rbf_svm,0.984375,0.975,1.0,1.0,0.9873417721518988,1.0,1.0,24,0,1,39,0.00025912499404512346
5,2,0.2,381,94,qsvc,0.921875,0.875,1.0,1.0,0.9333333333333333,0.9791666666666666,0.9889073764375659,24,0,5,35,0.10973516599915456
